split,support_tier,model,horizon,n_cases,n_lakes,MAE,RMSE,mean_bias,MASE,pct_lakes_beat_naive,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
development,All,Shrink recent/long-run 25/75,3,3293,459,0.5325752537341581,0.7154410395872256,-0.10776904144887997,1.0081588009197122,66.66666666666666,3293,0.8354084421500152,1.8310290006261767,3293,0.9623443668387489,3.1656773539607417
development,All,Shrink recent/long-run 25/75,5,3208,447,0.562718396046502,0.7679849041461742,-0.1760142549829054,1.06103172671361,67.11409395973155,3208,0.8375935162094763,1.9290687010688863,3208,0.9625935162094763,3.320243528739202
development,All,Shrink recent/long-run 25/75,10,3020,421,0.6538856600302633,0.9196902881516024,-0.21688046188295185,1.2131752135524851,65.08313539192399,3020,0.8231788079470199,2.162128433626627,3020,0.9582781456953643,3.7030533691495577
development,All,Shrink recent/long-run 50/50,1,3398,495,0.47014403803585175,0.6438992624951132,-0.015700167853343293,0.882299001477293,64.44444444444444,3398,0.8428487345497352,1.6218096424207384,3398,0.9623307828134197,2.906542062578781
development,All,Shrink recent/long-run 50/50,3,3293,459,0.5164279705389146,0.7010446034531553,-0.09707953598134599,0.9768802319656402,69.49891067538127,3293,0.8351047676890373,1.7766518274119432,3293,0.9626480412997267,3.0936046772315007
development,All,Shrink recent/long-run 50/50,5,3208,447,0.5458377229432283,0.749084004975453,-0.1645495191824376,1.0283889096200367,71.36465324384787,3208,0.8388403990024937,1.8763405699576168,3208,0.962281795511222,3.256155341492175
development,All,Shrink recent/long-run 50/50,10,3020,421,0.6346565588942384,0.8968804246981539,-0.20370099488219998,1.1764031354190596,71.49643705463184,3020,0.8357615894039735,2.1455871515543894,3020,0.9579470198675497,3.711959548230883
development,All,Shrink recent/long-run 75/25,1,3398,495,0.46578046300308085,0.6446268930122705,-0.0033988324232210013,0.8694435883351668,68.88888888888889,3398,0.839022954679223,1.6120925656192104,3398,0.96291936433196,2.8548431818703315
development,All,Shrink recent/long-run 75/25,3,3293,459,0.5144299223241557,0.7063308465620101,-0.086390030513812,0.9692204603527076,70.37037037037037,3293,0.8384451867597935,1.7894997435378093,3293,0.9605223200728819,3.0848302581773868
development,All,Shrink recent/long-run 75/25,5,3208,447,0.5422008244756682,0.7491283191425286,-0.1530847833819697,1.0177203631798277,72.7069351230425,3208,0.8428927680798005,1.8885976515181881,3208,0.9604114713216958,3.3162482977742247
development,All,Shrink recent/long-run 75/25,10,3020,421,0.6291246980789905,0.8909046992644546,-0.19052152788144813,1.1624576962484863,74.10926365795724,3020,0.8433774834437087,2.1651103203611903,3020,0.9609271523178808,3.7762111970545726
development,Full,EWMA alpha 0.10,1,2780,359,0.4875868222588317,0.655356525898056,-0.016765981492668388,0.8723468053394775,63.231197771587745,2780,0.8618705035971223,1.8423699830933302,2780,0.9705035971223022,3.2334002316360713
development,Full,EWMA alpha 0.10,3,2699,355,0.5344501041975377,0.7201068351270716,-0.09328457719147101,0.9457588924909591,67.6056338028169,2699,0.8577250833642089,1.9708962758069977,2699,0.965913301222675,3.3872396482910396
